Player,PTS,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
GK_pwddddddddd,33.63,12,9,3,1,0.8,0.7,10,0.9,1863.2,1285.4,509.4,0,155.3,2646.8,220.6,468.2,1941.6,1,0,4,2,6,0,14,2,0,197.4,0,0,28,3,8,68.3,8,1,2,0,60,22,8,19,4,3,0,11.6,65.9,13165,1097,25,1426.8,33,1
T5_RangerX,39.97,12,10,6,1.5,0.9,0.7,11,0.9,1496.5,277.9,992.1,49.7,124.7,2177.4,181.5,201.4,1932.8,0.8,2,1,6,2,2,11,2,3,341.5,0,4,38,4,15,76.9,9,0,2,0,57,4,30,19,15,0,0,13.5,69.4,16212,1351,12,1053.5,39,1
ROC_bielmtcalmo,35.23,12,9,3,1,0.8,0.6,9,1,2023,1124.6,711.9,0,168.6,2469,205.7,249.6,2175,0.9,3,3,5,3,1,12,1,4,314.5,0,1,27,1,13,201.3,6,0,1,0,41,0,21,23,0,3,0,10.9,43.8,12615,1051,26,1259,35,1
EA_Jacob,42.76,12,9,5,1.3,0.8,0.5,12,0.8,1975.8,658.9,1004.1,0,164.6,3307.4,275.6,100,3002.2,0.7,1,4,2,4,1,16,6,3,553.1,0,3,40,2,18,312.8,4,1,0,0,45,6,30,13,5,0,0,11,35.1,13894,1157,37,2147.4,67,4
FUR_possa,44.13,12,9,5,1.3,0.8,0.4,15,0.6,2112.9,823.8,1084.7,0,176.1,3007.9,250.7,467,2466.8,0.9,1,1,1,2,7,9,5,1,136.6,1,2,28,1,12,204.4,3,2,1,0,38,4,22,13,0,2,0,12,51.5,15409,1284,37,1769.3,42,0
T5_RossitedJR,37.33,12,8,4,1.1,0.7,0.6,5,1.6,1633.4,193.5,1200.7,0,136.1,2646.1,220.5,378.5,2236,0.7,1,2,2,4,3,12,4,1,253.4,1,0,38,3,16,188,6,0,1,0,61,18,17,19,1,0,0,10.4,69.1,16401,1366,28,1506.1,32,1
4AM_HSmm,30.35,12,7,5,1,0.6,0.5,8,0.9,1935.4,659.3,661.1,371.9,161.3,2238.2,186.5,121.7,2010.3,1,4,3,1,6,2,11,1,2,162.1,0,0,34,4,13,136.8,8,3,2,0,50,7,14,15,0,3,0,11.7,49,14258,1188,23,1026.4,35,3
TE_DuCkHjeUz,26.07,12,7,6,1.1,0.6,0.5,6,1.2,1807.4,502,1088.8,0,150.6,3063.8,255.3,492.1,2446.3,0.7,8,3,4,4,1,17,6,2,146.7,1,0,30,2,17,150.6,7,0,4,66,71,9,54,40,3,4,0,13.8,41.6,15073,1256,32,1801.7,61,3
FUR_Haven,26.56,12,5,7,1,0.4,0.5,9,0.6,1956.1,502.5,1213,0,163,2503.9,208.7,54,2338.5,0.8,1,3,8,1,0,15,3,3,424.3,0,0,28,0,12,10,9,2,3,0,40,5,12,19,0,5,0,9.2,57.5,14350,1195,26,1273.9,38,0
DN_Barpo,32.37,12,8,2,0.9,0.7,0.4,8,1,2037.4,685,1030.7,0,169.8,1923.9,160.3,104.4,1800.8,1.1,1,7,2,1,1,11,2,1,312.4,0,0,20,0,7,198.3,5,0,2,0,35,0,9,14,3,1,0,8.7,47.3,10779,898,11,778.9,13,0
FUR_zkrakeN,32.4,12,7,5,1,0.6,0.5,7,1,1839.9,741.1,936.1,0,153.3,2515.6,209.6,464.2,2002.5,0.9,4,6,2,2,2,12,2,0,267.1,0,1,34,1,18,143.7,11,1,2,0,50,2,22,21,4,5,0,11.1,53.9,14269,1189,21,1295.6,31,0
EA_Lericz,35.53,12,9,5,1.3,0.8,0.6,11,0.8,1253.3,385.8,696.6,0,104.4,2857.2,238.1,303.3,2426.4,0.5,6,3,6,1,1,16,6,3,265.9,0,1,37,10,13,79,2,0,0,0,55,10,34,12,3,1,0,11.4,66,14670,1222,36,1659.4,34,2
GEN_Orca,23.14,12,7,2,0.8,0.6,0.5,5,1.4,1814.3,429.2,1129.1,178.3,151.2,2921.1,243.4,572.9,2330.4,0.8,0,5,3,2,2,14,4,2,299.9,2,0,27,1,14,59.9,6,1,0,0,26,4,19,30,0,8,0,10.6,44.4,12491,1040,40,1680.7,40,2
DN_Daeyeon,31.18,12,9,1,0.8,0.8,0.5,8,1.1,1618,1027.8,559.3,0,134.8,1800.9,150.1,223.2,1574.5,1,1,3,4,3,2,10,0,3,144.8,0,0,21,1,7,31,2,1,1,0,28,0,16,18,0,4,0,9.2,54.9,12053,1004,9,600.9,28,1
BST_M1ME,31.82,12,7,6,1.1,0.6,0.4,11,0.6,1782.2,330.2,1157.4,0,148.5,3542.6,295.2,81.8,3368.9,0.5,1,4,5,2,1,19,8,0,184.8,2,5,39,8,18,110,10,0,3,0,42,0,38,21,2,7,0,14.9,43.4,16855,1404,48,2262.6,78,4
GK_QWZYYY,35.19,12,11,1,1,0.9,0.4,9,1.2,1619.4,558.8,786.8,0,135,2646.1,220.5,275.4,2367.9,0.7,3,2,2,4,4,9,1,3,406.2,2,0,24,0,10,190,9,0,3,83.9,58,3,18,28,6,5,0,11,42.8,14098,1174,32,1436.1,46,1
DNF_Gyumin,31.85,12,6,2,0.7,0.5,0.6,9,0.7,1484.5,746.3,544.7,0,123.7,2836.9,236.4,486.8,2221.1,0.7,3,3,3,1,4,10,3,3,240.8,0,1,36,0,18,193.6,13,2,1,0,35,1,18,20,0,9,0,12.8,52.1,15615,1301,42,1706.9,41,1
